age,income,employment_status,loan_amount,debt,savings,credit_history,payment_history,existing_loans,loan_duration_months,debt_to_income_ratio,loan_to_income_ratio,creditworthy,credit_status
67,23828.9,7 or more years,1169.0,545.53,unknown or no savings account,critical account or other credits existing,critical account history,2,6,0.2747,0.0491,1,Good Credit
22,8033.85,1 to 4 years,5951.0,148.78,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.2222,0.7407,0,Bad Credit
49,13016.16,4 to 7 years,2096.0,209.6,less than 100 DM,critical account or other credits existing,critical account history,1,12,0.1932,0.161,1,Good Credit
45,13984.92,4 to 7 years,7882.0,225.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,42,0.1932,0.5636,1,Good Credit
53,22158.5,1 to 4 years,4870.0,527.58,less than 100 DM,delay in paying off in the past,past payment delay,2,24,0.2857,0.2198,0,Bad Credit
35,16299.0,1 to 4 years,9055.0,301.83,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.2222,0.5556,1,Good Credit
53,8384.51,7 or more years,2835.0,153.56,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2198,0.3381,1,Good Credit
35,12506.4,1 to 4 years,6948.0,231.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2222,0.5556,1,Good Credit
61,18996.39,4 to 7 years,3059.0,305.9,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,1,Good Credit
28,12310.37,unemployed,5234.0,488.51,less than 100 DM,critical account or other credits existing,critical account history,2,30,0.4762,0.4252,0,Bad Credit
25,5303.02,less than 1 year,1295.0,140.29,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3175,0.2442,0,Bad Credit
24,4410.32,less than 1 year,4308.0,116.68,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.3175,0.9768,0,Bad Credit
22,10342.2,1 to 4 years,1567.0,143.64,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1667,0.1515,1,Good Credit
60,6110.1,7 or more years,1199.0,139.88,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,0,Bad Credit
28,6060.96,1 to 4 years,1403.0,112.24,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.2222,0.2315,1,Good Credit
32,2512.72,1 to 4 years,1282.0,74.78,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3571,0.5102,0,Bad Credit
53,12352.7,7 or more years,2424.0,282.8,unknown or no savings account,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,1,Good Credit
25,47075.9,less than 1 year,8072.0,968.64,unknown or no savings account,no credits taken or all paid back duly,no prior payment record,3,30,0.2469,0.1715,1,Good Credit
44,32051.29,7 or more years,12579.0,733.78,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,0,Bad Credit
31,10144.22,7 or more years,3430.0,185.79,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2198,0.3381,1,Good Credit
48,33461.12,1 to 4 years,2134.0,995.87,less than 100 DM,critical account or other credits existing,critical account history,3,9,0.3571,0.0638,1,Good Credit
44,28587.6,1 to 4 years,2647.0,529.4,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2222,0.0926,1,Good Credit
48,31947.7,less than 1 year,2241.0,493.02,less than 100 DM,critical account or other credits existing,critical account history,2,10,0.1852,0.0701,1,Good Credit
44,7387.38,less than 1 year,1804.0,195.43,100 to 500 DM,critical account or other credits existing,critical account history,1,12,0.3175,0.2442,1,Good Credit
26,26814.24,1 to 4 years,2069.0,496.56,unknown or no savings account,critical account or other credits existing,critical account history,2,10,0.2222,0.0772,1,Good Credit
